AgentNumber,SuccessfulDomain1,NumExceedingMinUtilDomain1,TotalUtilityDomain1,NumBelowMaxDistDomain1,TotalDistDomain1,AverageUtilDomain1,MarkUtilityDomain1,AverageDistDomain1,MarkDistDomain1,SuccessfulDomain2,NumExceedingMinUtilDomain2,TotalUtilityDomain2,NumBelowMaxDistDomain2,TotalDistDomain2,AverageUtilDomain2,MarkUtilityDomain2,AverageDistDomain2,MarkDistDomain2,SuccessfulDomain3,NumExceedingMinUtilDomain3,TotalUtilityDomain3,NumBelowMaxDistDomain3,TotalDistDomain3,AverageUtilDomain3,MarkUtilityDomain3,AverageDistDomain3,MarkDistDomain3,Overall Mark
28,1095,1092,1031.572149,1084,65.16259,0.94466314,0.740982722,0.06011309,0.922669004,1036,1036,598.6446318,1036,400.81678,0.577842309,0.747962519,0.386888784,0.905125272,1079,1078,829.7390968,1006,255.66398,0.769702316,0.747715872,0.254139145,0.913253692,83
29,1049,693,631.9932335,644,53.99804,0.873201164,0.374945529,0.129432113,0.465453143,965,965,224.0278185,965,534.56342,0.23215318,0.300500456,0.553951731,0.539090923,1035,1001,490.0935995,873,348.13192,0.489603995,0.344727558,0.407170055,0.509171989,42.2
30,1105,1063,983.8831694,1043,75.31935,0.925572125,0.643196155,0.074263538,0.829335187,1054,1054,229.3376829,1054,626.45355,0.217587934,0.281647116,0.594358207,0.450560471,1107,1082,522.0621234,927,363.44586,0.482497341,0.334502939,0.392066731,0.549052669,51.5
31,1031,1004,971.2720211,959,58.84108,0.95855851,0.81215655,0.074567057,0.827333231,759,759,564.384566,759,333.78377,0.703721404,0.910901169,0.459082007,0.746950164,903,903,809.935452,842,235.83402,0.891257357,0.922601821,0.304318353,0.780754317,83.3
32,1060,1001,941.331077,950,61.46807,0.932576488,0.679073376,0.078743462,0.799786407,796,796,400.3160891,796,290.4788,0.499147243,0.646099159,0.368178055,0.946120416,998,998,780.3021552,953,210.88671,0.781865887,0.765216073,0.221287209,1,80.6
33,807,758,722.4993588,735,41.81851,0.909527697,0.561014582,0.100772179,0.654488935,153,153,123.4287979,153,72.4472,0.153901244,0.199210685,0.737714713,0.136466852,716,716,497.4998023,680,214.00174,0.59961559,0.503005504,0.387049111,0.562301813,43.6
34,1031,907,875.5506879,888,55.3768,0.941462913,0.724590759,0.084695094,0.760530508,847,847,480.927769,847,305.03476,0.56780138,0.734965482,0.36013549,0.963741648,908,905,647.1545289,873,271.78591,0.71202473,0.664732892,0.323365434,0.730460055,76.3
35,1065,1040,1001.583175,1028,53.71689,0.959984128,0.81945874,0.056714047,0.945088484,778,778,445.406279,778,256.35653,0.555369425,0.718873485,0.343586696,1,991,985,737.2952827,906,226.54887,0.74852313,0.717244555,0.25197461,0.918969197,85.3
36,1065,1042,960.2096107,1010,74.46739,0.919443029,0.611802154,0.079686217,0.793568166,65,65,38.90536601,65,17.48189,0.048510431,0.062792191,0.756959963,0.094300576,755,754,653.9737916,724,176.16173,0.76094818,0.735120956,0.316533183,0.748500772,50.8
37,1072,1045,974.4301994,1032,68.97429,0.930594528,0.668921528,0.070353104,0.855127709,562,562,412.0423038,562,138.6445,0.513768459,0.665024947,0.412274938,0.849504295,748,748,628.6478828,717,162.98387,0.734794602,0.69749279,0.306678233,0.774523,75.2
38,1083,1050,997.8442937,1006,56.31159,0.948909711,0.762734191,0.063312821,0.901564155,991,991,707.5428677,991,455.86538,0.713968585,0.924165181,0.460005429,0.744926951,1026,1019,844.8995424,976,228.84191,0.829145773,0.833239477,0.23446917,0.965192722,85.5
